SIRUTA,F1,F2,F3
22166,-0.080,-0.305,-0.149
22237,-0.097,-0.203,0.192
22380,-0.078,-0.298,-0.035
22460,-0.019,0.040,-0.032
22488,-0.060,-0.181,0.002
22576,-0.159,-0.727,0.210
22665,-0.061,-0.192,0.001
22718,-0.028,0.093,-0.113
22781,-0.009,0.090,0.133
22834,-0.062,-0.198,-0.098
22898,-0.073,-0.171,-0.064
22941,-0.051,-0.124,-0.135
23047,-0.063,-0.187,0.011
23127,-0.061,-0.192,-0.014
23207,-0.055,-0.147,0.002
23289,-0.063,-0.152,0.004
23350,-0.055,-0.135,0.018
23387,-0.056,-0.136,0.025
23449,-0.056,-0.163,-0.112
23494,-0.046,-0.116,-0.189
23644,-0.057,-0.163,-0.081
23715,-0.195,-1.064,1.397
23797,-0.008,0.248,0.007
23868,-0.060,-0.187,-0.008
23948,-0.050,-0.101,-0.112
23975,-0.059,-0.176,-0.038
24034,-0.074,-0.302,0.263
24089,-0.063,-0.210,0.142
24187,-0.097,-0.666,0.067
24276,-0.062,-0.171,-0.058
24338,-0.055,-0.157,-0.070
24427,-0.062,-0.186,-0.005
24524,-0.031,0.179,0.156
24631,-0.045,0.033,0.214
24711,-0.050,-0.172,-0.024
24766,-0.128,-0.392,0.455
24837,-0.060,-0.179,-0.013
24999,-0.061,-0.192,-0.001
25068,-0.012,0.020,-0.383
25148,-0.083,-0.482,0.049
25228,-0.013,0.015,-0.233
25291,-0.058,-0.177,-0.014
25362,-0.057,-0.086,-0.288
25488,-0.059,-0.175,0.037
25521,-0.059,-0.182,0.000
25629,-0.062,-0.192,-0.004
25692,-0.037,-0.080,-0.036
25745,-0.062,-0.191,-0.008
25825,-0.219,-0.098,0.327
25861,-0.053,-0.111,0.010
25932,-0.061,-0.190,-0.011
26029,-0.063,-0.216,-0.024
26083,-0.067,-0.322,0.309
26118,-0.063,-0.197,0.005
26289,-0.038,-0.104,-0.179
26320,-0.053,-0.194,0.088
26338,0.067,1.130,-0.146
26346,-0.052,-0.399,-0.100
26353,-0.059,-0.183,-0.001
26361,-0.062,-0.183,-0.013
26379,-0.059,-0.157,0.080
26564,3.869,18.124,-13.312
26582,0.103,1.379,-1.835
26653,0.146,2.391,1.927
26699,-0.076,-1.726,-0.133
26742,-0.082,-0.124,0.375
26804,0.055,0.463,0.263
26840,0.008,1.507,-1.087
26877,-0.166,0.941,0.469
26920,-0.080,-0.411,0.469
26975,-0.062,-0.660,0.956
27007,-0.051,-0.050,-0.224
27070,-0.061,-0.222,0.045
27169,-0.049,-0.145,0.286
27212,-0.042,0.031,0.210
27285,-0.065,-0.120,0.065
27329,-0.062,-0.183,-0.035
27383,-0.065,-0.206,-0.108
27436,0.003,0.541,1.073
27506,-0.063,-0.185,-0.027
27560,-0.046,-0.125,-0.262
27631,-0.332,-3.387,4.495
27686,-0.027,0.010,-0.283
27757,-0.032,0.007,0.100
27846,-0.035,0.041,0.195
27908,-0.055,-0.161,0.033
27935,-0.008,0.066,-0.093
27971,-0.021,0.045,0.050
28077,-0.050,-0.143,0.005
28139,-0.066,-0.214,-0.068
28193,-0.062,-0.210,-0.004
28246,-0.039,-0.058,-0.261
28335,-0.048,-0.028,-0.596
28415,-0.061,-0.175,0.010
28497,-0.061,-0.181,-0.011
28530,-0.080,0.279,-0.321
28610,-0.046,-0.107,0.068
