Judet,01,02,03,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,41,42,43,45,46,47,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87,88,90,91,92,93,94,95,96,97,98,99,total_angajati
gl,315.54,9.65,1.90,0.00,0.00,0.00,23.88,3.32,508.34,21.83,0.00,27.84,68.01,4.43,18.19,5.85,18.82,0.00,2.85,10.60,121.15,49.03,869.11,364.41,49.03,14.39,47.61,32.90,361.88,169.24,16.45,109.45,39.54,160.54,3.01,123.53,0.00,714.43,508.81,584.57,291.97,1430.28,1292.20,569.23,123.68,0.00,284.22,55.36,59.94,370.26,18.82,3.48,1.58,9.96,152.63,63.11,27.68,0.00,41.60,97.27,33.53,45.39,302.25,0.16,24.52,34.95,21.51,23.25,111.66,26.73,386.71,103.28,118.15,4.11,50.45,151.52,1.90,0.63,6.64,2.85,36.69,46.82,0.00,18.66,117.52,0.00,0.00,0.00,11943.28
gr,575.60,8.67,10.47,0.00,0.00,0.00,88.11,0.00,348.10,0.36,0.00,35.75,57.42,0.36,26.72,65.00,6.50,31.05,11.56,8.67,35.39,174.05,60.67,231.47,52.36,9.75,10.11,0.00,98.22,69.33,39.00,18.06,111.94,130.36,1.81,62.11,0.00,1383.38,232.91,326.08,257.10,452.46,1045.39,769.51,5.78,0.00,466.54,46.22,49.47,224.97,6.14,2.89,1.08,6.50,32.86,9.03,9.03,0.00,27.08,55.61,33.22,35.75,63.19,0.36,13.72,27.08,26.72,27.80,102.19,10.11,235.08,130.00,97.86,62.83,55.61,92.80,3.61,5.06,3.25,3.25,6.14,28.17,0.36,11.19,68.25,11.19,0.00,0.00,8943.78
hd,164.82,227.55,3.40,7.02,0.00,29.35,36.37,7.44,553.14,22.54,0.00,124.20,205.01,178.64,105.48,34.45,22.54,0.00,10.00,0.00,218.19,230.32,124.20,1211.77,87.19,382.58,34.88,113.99,241.16,254.99,186.08,29.14,23.82,276.04,1.70,201.61,5.95,697.33,141.00,368.55,299.22,733.91,1396.36,635.87,0.21,2.55,65.08,45.94,128.45,414.06,14.46,8.08,5.95,7.87,53.38,5.95,38.49,0.00,44.87,54.02,36.37,85.92,202.88,30.20,27.01,38.28,23.18,36.15,5.32,27.86,345.58,89.96,104.84,0.00,67.63,165.67,0.85,20.42,6.59,4.25,44.23,39.98,0.00,45.30,106.76,0.00,0.00,0.00,12072.36
hr,105.16,378.38,6.59,0.00,0.00,0.00,100.06,0.00,949.70,891.28,0.90,178.26,460.17,99.16,882.59,64.71,183.65,0.30,19.47,0.00,222.60,122.53,84.78,309.48,13.48,10.49,72.80,67.71,0.30,788.82,76.40,12.58,35.35,109.05,43.14,109.65,0.30,1153.12,224.39,480.54,409.24,1328.68,1661.83,606.67,0.00,0.00,93.47,43.44,281.91,472.45,69.80,8.09,8.09,7.49,97.07,14.08,11.08,0.00,28.46,65.31,57.52,64.11,164.18,5.99,34.75,46.14,29.06,16.48,27.56,11.68,163.58,88.98,160.58,0.00,80.29,116.84,0.30,0.00,11.08,1.20,11.38,56.02,0.00,21.27,69.80,0.00,0.00,0.00,14703.90
if,536.43,9.21,20.46,0.00,0.26,0.26,31.98,272.69,1977.39,712.17,257.34,138.90,301.85,221.27,67.02,247.11,290.60,0.00,195.18,388.06,1693.45,553.06,95.16,518.27,230.74,57.56,851.58,150.16,3.58,406.73,343.55,87.23,30.70,209.76,14.84,703.47,6.40,2859.16,746.19,1861.51,1944.39,6512.35,8044.38,1941.07,1.79,493.20,1403.62,896.86,117.42,1071.83,58.07,82.37,2.05,68.81,750.03,91.32,142.74,141.21,166.53,539.24,182.13,478.87,506.24,785.58,351.99,151.18,101.30,220.51,286.50,39.65,2180.50,536.17,338.69,236.11,228.95,554.33,103.86,50.39,40.42,103.86,237.65,106.67,0.00,161.67,380.39,0.00,0.00,0.00,49924.15
il,1218.96,48.99,11.91,0.00,0.00,0.00,4.42,0.00,571.55,29.94,0.00,18.71,382.05,30.28,42.19,6.46,10.55,0.00,53.07,0.00,138.46,40.14,0.00,115.33,80.97,26.54,6.12,0.00,0.34,117.03,5.44,8.16,1.70,74.51,3.06,132.34,0.00,520.85,310.27,193.92,227.94,699.12,1202.63,469.48,0.00,0.00,22.79,45.59,46.61,222.49,4.42,3.06,1.70,14.29,21.77,7.14,10.89,0.00,14.29,28.24,42.53,32.32,84.71,0.00,15.65,34.02,26.20,4.42,11.57,7.48,269.78,57.83,100.36,13.95,37.08,170.78,0.00,4.42,6.80,0.34,1.70,19.73,0.00,13.27,86.41,0.00,0.00,0.00,8288.09
is,372.07,19.00,23.78,0.00,0.11,0.00,12.16,0.00,466.10,7.17,0.00,119.65,253.73,37.89,47.23,46.79,65.69,0.00,62.86,188.05,55.37,141.03,89.46,149.61,38.65,31.92,142.34,262.31,50.59,80.89,130.18,42.78,33.11,147.33,2.93,141.58,1.30,1141.08,183.05,490.09,370.01,711.57,1030.77,745.99,0.22,0.98,41.04,73.94,87.83,498.88,46.58,12.38,2.61,32.25,1044.78,65.25,52.22,0.33,29.64,178.38,64.93,181.75,319.96,22.47,73.72,59.06,36.48,19.76,71.55,29.42,200.10,180.77,360.24,0.00,87.40,354.81,4.02,1.95,7.06,4.45,36.59,41.58,0.00,27.90,178.60,0.00,0.11,0.00,12468.19
mh,139.37,77.00,2.44,1.39,0.00,0.00,12.19,0.00,272.47,5.23,0.00,10.10,68.29,3.48,110.80,118.12,3.48,0.00,0.00,0.00,28.92,24.74,20.21,104.18,0.00,17.42,1.74,0.00,299.65,16.03,156.44,24.04,28.22,141.11,0.70,120.90,0.00,424.73,368.98,177.00,166.20,244.94,679.43,606.61,20.21,0.00,45.99,17.07,51.92,260.97,4.88,4.18,2.44,6.27,9.06,2.44,18.47,0.00,18.47,28.92,20.56,23.00,95.12,0.35,5.23,35.19,21.95,21.60,90.94,6.27,265.50,58.19,69.34,0.00,43.55,109.75,1.05,1.05,2.44,0.35,30.66,39.72,0.00,13.24,71.78,0.00,0.00,0.00,5994.67
mm,90.08,165.53,5.51,0.00,1.14,77.16,73.74,0.00,582.48,12.35,0.00,250.29,302.74,181.68,532.69,53.02,100.53,0.57,52.07,30.98,254.09,135.31,5.32,424.37,45.80,874.96,116.50,52.64,331.62,2290.59,49.60,58.15,4.37,119.92,1.14,104.90,0.00,1129.23,280.69,610.99,454.96,837.90,1091.80,1033.45,0.38,0.00,79.82,61.38,167.81,381.61,29.46,5.13,3.23,3.42,126.95,18.24,144.24,0.00,114.79,60.24,45.23,56.25,168.00,0.19,27.18,43.14,19.76,29.08,40.29,18.24,161.54,72.60,117.45,2.85,42.57,179.02,5.89,0.00,10.26,3.23,32.12,51.31,0.00,25.47,85.90,0.00,0.00,0.00,15255.12
ms,336.21,115.20,11.74,0.00,0.00,0.00,30.18,18.45,687.18,4.19,0.00,496.02,347.11,45.95,392.89,33.37,47.96,0.00,261.76,201.89,152.43,189.32,45.11,450.91,15.59,283.73,237.44,284.06,7.71,601.99,200.55,44.10,932.84,128.28,1.68,178.08,0.17,635.53,374.95,656.32,496.69,1155.53,1364.13,758.61,0.00,0.00,49.47,78.98,269.81,494.51,27.17,6.88,7.71,25.66,280.20,29.35,45.11,0.34,40.08,122.91,60.70,93.07,174.73,8.72,53.83,42.42,38.06,14.09,23.64,19.45,512.95,114.36,95.41,0.00,54.67,388.70,2.85,0.84,11.23,9.22,46.78,46.95,0.00,36.22,80.66,0.00,0.00,0.00,15633.55
